案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
Wolong: How to Compete in the Red Ocean?,FDC-21010-2X-CE,Wolong,doi.org/10.12156/FUDAN.CASE202101002,战略,贸易/批发/零售,复旦大学管理学院,标准案例,MBA,2023-05-15,Tian Wei,Jieyou Zhang，Zhe Li，Xiaoya Gao,英文,"Nuts Industry,Product Category,Competition Strategy",,12,24,"Wolong Food, a leading enterprise in China’s nut industry, has experienced a significant slowdown in growth since 2018. The intensifying market competition compelled Wolong to rethink about its strategy, while divergences emerged between the founder, Guoqing Yang, and the management team: to maintain the leading position with expansion of product portfolio and scale, or to explore the next hit product in a new niche market. This case is tailored for courses of corporate strategy and entrepreneurial management."
IDOL Group: Imitation and Innovation,FDC-21026-2X-CE,IDOL Group,doi.org/10.12156/FUDAN.CASE202102602,"市场营销,服务管理",互联网/信息/通讯,复旦大学管理学院,标准案例,MBA,2023-05-15,Zhe Zhang,"Chunyi Zhang, Zhaojie Chen",英文,"Operations Services,Social E-commerce,Business Models,IDOL Group",,16,26,"IDOL Group, an e-commerce platform established in 2017 with a primary focus on online inventory liquidation, aims to facilitate connections between brands and end consumers leveraging the influence of traffic owners to promote products via social media. IDOL features innovation and sustainable development through ESG strategy and the establishment of a data-driven platform ecosystem. This case is particularly relevant for courses regarding business model, platform enterprise, ESG and sustainable development."
A Fintech-Powered Online Bank Fuels Rural Revitalization with New Business Models,FDC-21027-2X-CE,Mybank,doi.org/10.12156/FUDAN.CASE202102702,信息技术,金融/保险,复旦大学管理学院,标准案例,MBA,2023-03-22,Yan Luo,Xiaohuan Wang，Ningyu Zhou,英文,"Fintech,Financial Markets,Rural Finance,Internet,Risk Management,Online Banking","科创,中国式现代化",16,8,"As digitalization spreads to rural areas, MYbank seizes the opportunity for efficient and low-cost access to agricultural data. By using technology to empower financial services, it pioneers new rural financial development paths with inclusivity and technology. MYbank presents three innovative business models—digital inclusive finance at the county level, innovative industrial finance, and platform finance, providing a solution to the longstanding challenge of rural finance."
Naive Blue: The Legend of Tiny Photos (A&B),FDC-21030-2X-CE,Naive Blue,doi.org/10.12156/FUDAN.CASE202103002,"市场营销,服务管理",艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-05-15,Yanqun He,Huaying Yang,英文,"Market Competition,Customer Service,Brand Building,Value Creation",,30,21,"Naive Blue, a photography service chain founded in Shanghai in 2010, introduced the innovative concept of “beautiful ID photos” and experienced rapid nationwide expansion, reshaping China’s portrait photography industry. However, the escalating competition in the market forces Naive Blue to address critical decisions concerning strategic management and brand extension. This case is appropriate for the examination and comprehension of the intricate dynamics in the fields of marketing management, brand management, service marketing and entrepreneurship."
Quicktron: Innovation and Global Expansion of an AMR Company,FDC-22003-1X-CE,Quicktron,doi.org/10.12156/FUDAN.CASE202200301,信息技术,交通/物流/仓储,复旦大学管理学院,标准案例,MBA,2023-12-07,J.P. van der Gaast ,Di Sun，Fei Ni，Qingchen Zhuge,英文,"Quicktron，Mobile,Robotics,Industry,Strategic,Management,Innovation,Globalization",科创,16,19,"Quicktron, a leading Chinese autonomous mobile robot company, faces challenges in achieving its expansion targets due to intensifying competition and shrinking profit margins. Moreover, end-users perceive the mobile robots in the market as increasingly homogeneous, leading to declining profitability for manufacturers. How should Quicktron formulate its strategy to attain its expansion targets and sustain competitiveness? This case is well-suited for courses of strategy and business expansion."
How Does Be-Tiger Technology Blossom Everywhere?,FDC-22015-1X-CE,Be-Tiger ,doi.org/10.12156/FUDAN.CASE202201501,市场营销,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA",2022-09-30,Liyin Jin,Chunyi Zhang,英文,"Bi-tiger Technology,Digitalization,Outdoor Media,Marketing Innovation,Business Models,Shared Economy",科创,12,11,"Be-Tiger Technology, a media technology supplier and advertising agency for car mobile intelligence established in 2015, is a hit in the taxi advertising industry. In response to intensifying competition, the founder Wang Jianfeng expands business from Shanghai to a nationwide scale, as well as reaching from business clients to individual customers. This case fits MBA and EMBA courses of marketing and business model innovation."
eBay CCOE: An Impossible Mission,FDC-22019-2X-CE,Ebay (China),doi.org/10.12156/FUDAN.CASE202201902,"人力资源,组织行为",专业/科学/技术服务,复旦大学管理学院,标准案例,MBA,2023-05-15,Dongyuan Wu,Chunyi Zhang,英文,"eBay China,Temporary Teams,Employee Incentives,Paternalistic Leadership",科创,18,19,"In 2012, Vivian assumed the role of General Manager at the eBay China Development Center of Excellence (CCOE) with the objective of steering the growth of CCOE by initiating a cultural transformation plan. Vivian encountered numerous challenges in reshaping the organization as a new and female leader, especially facing her diminished authority when headquarters decided to realign reporting lines. This case, which illustrates real-world business scenarios, is designed to empower students to understand practices of organization transformation and leadership."
3.0版的语言大学校——上海互加文化传播公司,FDC-12012-1X-AC,上海互加文化传播公司,doi.org/10.12156/FUDAN.CASE201201501,创新创业,教育服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"在线教育,创业",,10,0,2012年，沪江网的受众超过两亿，在线注册用户近两千万，营业收入达亿元，在众多外语学习类网站中遥遥领先。现在，沪江网已经成为中国当下最受欢迎的互联网语言教育平台之一，拥有大量骨灰级“沪友”。正是因为沪江网创造了浓厚的学习氛围、时刻把握住市场需求并不断创新产品，才能赢得网友的热捧；也正是因为沪江网踏实肯干、关怀员工的企业文化才使得整个公司众志成城，不断升级原有的商业模式并安然度过金融危机。
走在大宗商品交易服务的路上———上海易贸投资有限公司,FDC-12013-1X-AC,上海易贸投资有限公司,doi.org/10.12156/FUDAN.CASE201201701,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,大宗商品交易,,8,0,易贸从1999年创建伊始就定位于中国大宗商品交易服务专家，通过十年行业耕耘，积累了庞大的数据库，为化工、能源、浆纸等行业提供专业的信息资讯、商务服务和交易服务。2010年，易贸凭借已有的资源优势和对行业的清晰把握，搭建起大宗商品现货电子交易平台———易贸网，采取线上线下相结合的O2O 模式，开展了创新型大宗商品交易的综合服务。
“买卖提”何以“提买卖”——卖买提网络科技有限公司,FDC-12014-1X-AC,卖买提网络科技有限公司,doi.org/10.12156/FUDAN.CASE201201901,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,会员管理,,9,0,卖买提网络科技有限公司就是一家专门为商家提供会员管理的咨询、会员管理的技术和配套信息系统的公司，帮助商家分析会员数据、提供相关辅助服务以及设计会员营销策略等等。卖买提不仅向单个企业提供会员管理服务，还建立了一个会员交流平台，让不同商家的会员在卖买提的大平台上自由流通。
用合同契约精神，共享节能减排利益——上海中金能源投资有限公司,FDC-12015-1X-AC,上海中金能源投资有限公司,doi.org/10.12156/FUDAN.CASE201202101,创新创业,绿色环保,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,节能减排,,9,0,如何更有效地利用能源、实现节能减排的目标，已是当今社会发展的趋势。企事业单位作为能源使用及消耗的核心主体，都应该具备节能减排的意识。但是如何将节能减排的理念落到实处，却是很多企事业单位所面临的困惑。上海中金能源投资有限公司采用合同能源管理的模式，以医院作为切入点，选择最佳进入时机、精准分析客户群体需求，通过商业模式的创新构建一张多方共赢的价值网，从而推进了企事业单位实施节能减排项目的落实进程。
从“未雨绸缪”到“守正出奇”——上海晟峰信息技术（集团）有限公司,FDC-12016-1X-AC,上海晟峰信息技术（集团）有限公司,doi.org/10.12156/FUDAN.CASE201202201,"创新创业,战略",专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"软件外包,战略",,11,0,上海晟峰信息技术（集团）有限公司的发展经历，或许是中国软件行业中一个比较典型的样本。它的发展和成长环境与很多出身草根的中小软件企业一样，普通而平常。所不同的是，若干年走下来，当年同时起步的同行们，大半已经消失掉了，而晟峰的道路却越走越稳健，越走越开阔。
“商派”，电子商务的“卖水人”——上海商派网络科技有限公司,FDC-12017-1X-AC,上海商派网络科技有限公司,doi.org/10.12156/FUDAN.CASE201202301,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"电子商务,商业模式",,14,0,商派成立于2002年，与电子商务几乎是同步成长，见证了整个中国电子商务的发展历程。在这个时候，商派敏锐捕捉到了电子商务“淘金者”们“饮水困难”的问题，推出国内第一款单店产品“ShopEx独立网店软件”，帮助店主快速建立自己的电子商务网站。
搭“台”唱“戏”，让电子账单飞入寻常百姓家——上海付费通信息服务有限公司,FDC-12018-1X-AC,上海付费通信息服务有限公司,doi.org/10.12156/FUDAN.CASE201202401,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,电子账单,数字中国,7,0,在上海，老百姓交水电煤等日常费用不需要亲自去交了，只要登录网络、点点鼠标，敲敲键盘就可以轻松地完成账单的支付，抽空还能喝杯茶。这种方便来自于上海付费通信息服务有限公司为市民们搭建的电子化账单支付平台。
用户端+客户体验+全覆盖——上海众源网络有限公司,FDC-12019-1X-AC,上海众源网络有限公司,doi.org/10.12156/FUDAN.CASE201202501,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"在线视频,商业模式",,9,0,PPS网络电视（上海众源网络有限公司），是一家网络电视服务商，创办于2006年。2012年4月的艾瑞数据显示，PPS的日均覆盖人数已经超过优酷，日均覆盖人数超3382万，居行业之首；在使用时长上，PPS以超过3000万小时的浏览时间领先优酷20%，更是唯一突破3000万小时的网络视频。同时它的用户表现出极强的黏性，而在月度使用天数上，PPS用户人均每月访问天数达到6.4天，高于第二名近2天，用户忠诚度远非同行所能比拟。
给制造业插上腾飞的翅膀——上海沪江虚拟制造技术有限公司,FDC-12020-1X-AC,上海沪江虚拟制造技术有限公司,doi.org/10.12156/FUDAN.CASE201202601,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"虚拟现实,虚拟制造",科创,11,0,沪江虚拟成立于2006年10月，是我国首家专业从事虚拟制造技术及其配套设备的研究、开发、生产、应用以及人员培训的企业。公司拥有“虚拟制造技术公共服务平台”，并加盟上海市研发公共服务平台，为全市提供虚拟制造技术的公共展示示范、数据处理、评测开发与人才培训等服务。目前公司的合作企业包括：中国商飞上海飞机设计研究所、上海飞机制造有限公司、隧道股份、上海电气集团等多家国内外大型工业企业和高校等专业培训机构。
葡萄酒领域B2C的领跑者——上海眸世贸易有限公司,FDC-12021-1X-AC,上海眸世贸易有限公司,doi.org/10.12156/FUDAN.CASE201202701,"创新创业,市场营销",贸易/批发/零售,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"电子商务,葡萄酒",,7,0,也买酒虽然不是第一个在网上销售葡萄酒的，但却致力于打造中国最大的葡萄酒在线直销平台，经过四年的精耕细作，现已成为葡萄酒B2C领域中的领跑者。这得益于也买酒有效的营销方式———精准营销，也归根于也买酒出色的仓储物流能力。一家成功的电子商务企业必须拥有高效的营销模式和可靠的运营能力，从这个角度而言，也买酒正是以营销和仓储物流为抓手，打造其独特的核心竞争力，从而占据了行业中的领先地位。
开创居家养老新模式——上海海阳老年事业发展服务有限公司,FDC-12022-1X-AC,上海海阳老年事业发展服务有限公司,doi.org/10.12156/FUDAN.CASE201202801,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"养老,服务业",,8,0,上海海阳集团成立于1993年8月，是一家立足于上海面向全国，对医院、学校、商务购物中心提供经营管理、工程建设并长年承接物业管理的综合性国有企业。1998年，海阳公司实行改制，年仅24岁的徐超当仁不让，接下领导企业的重担，开始了第一次大刀阔斧的创业：将海阳集团打造成为最好的后勤服务外包商。
金融业全方位外包服务专家——上海财安金融服务有限公司,FDC-12023-1X-AC,上海财安金融服务有限公司,doi.org/10.12156/FUDAN.CASE201202901,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"金融,外包",,9,0,上海财安金融服务有限公司是诸多提供金融银行业外包服务的专业公司之一，金融外包实质上是把银行的非核心业务变成外包公司的核心业务，在保证客户安全的前提下，用专业的人做专业的事，让银行更专注于客户需求与产品创新，最终实现“更小的银行，更强大的银行”这一专业化发展的目标。
“快钱”加速中小企业发展——上海快钱支付清算信息有限公司,FDC-12024-1X-AC,上海快钱支付清算信息有限公司,doi.org/10.12156/FUDAN.CASE201203001,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"支付,金融",,11,0,成立于2004年的快钱支付清算信息有限公司，经过8年的发展，目前已经成为国内独立支付领域的佼佼者。根据公司提供的数据，2011年全年快钱的支付量达到1.2万亿元，企业用户139万户，个人用户1亿多户。
小i机器人的成长之路——上海智臻网络科技有限公司,FDC-12025-1X-AC,上海智臻网络科技有限公司,doi.org/10.12156/FUDAN.CASE201203101,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,人工智能,科创,10,0,2003年底，上海智臻网络科技有限公司自主研发的全球第一款中文智能网络聊天机器人“小ｉ”诞生。从刚推出时作为一款MSN聊天机器人应用，到2006年成为微软全球战略合作伙伴，再到为通信、政府、电子商务、智能电视等多领域集团客户提供客服机器人服务、智能营销解决和智能设备集成方案，智臻不仅在技术创新上始终保持世界领先，还成功实现了商业模式突围，成为全球智能网络机器人开发及应用的领跑者。
积分通兑，盘活消费附加利益——上海积分通信息服务有限公司,FDC-12026-1X-AC,上海积分通信息服务有限公司,doi.org/10.12156/FUDAN.CASE201203201,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"积分,商业服务",,10,0,积分给消费者提供了更多的优惠，但显而易见，商家的返利意图并不能完全落实到消费者的消费意愿上去，积分规则设计得再精美也无法真正让消费者体会到商家的诚意。如何帮消费者管理手中的积分？如何帮助商家完成促销的意愿？资产要流通才能成为资产，无论是商家还是消费者都希望能有个类似银行票号的机构，各种积分、各种“货币”都能在上面通存通兑。
零碳技术推动绿色家园建设——零碳中心,FDC-12027-1X-AC,零碳中心,doi.org/10.12156/FUDAN.CASE201203301,创新创业,绿色环保,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"环保,减排",中国式现代化,11,0,作为一个以技术创新为主导的小公司，如何一步步建立品牌、占领市场，并且形成有自身特色的新模式以及新业态？陈硕以及他所领导的“零碳中心”在这方面做了有益的尝试，他们在发展过程中第一步通过为“世博会建造和管理伦敦零碳馆”获得了品牌的美誉度；第二步通过“建立小额碳排放的检测标准”这一技术创新发现市场蓝海———小额碳排放的检测、盘查和审计；第三步则通过整合产业链的上下游以及拓展合作，创新地建立了小额碳排放权置换平台，发展出全新的业态模式。
High（嗨）不够的一嗨——上海一嗨汽车租赁有限公司,FDC-12028-1X-AC,上海一嗨汽车租赁有限公司,doi.org/10.12156/FUDAN.CASE201203401,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,汽车租赁,,8,0,上海一嗨汽车租赁有限公司总部位于上海，是一家为企业和白领家庭提供汽车租赁服务的企业。公司在全国50多个城市，通过400多个营业网点为客户提供服务。2011年，公司运营的车辆规模近万台，业务规模在全国排名第二（不含港、澳、台地区，以下同）并一直处于稳健、高速发展的状态，出租率、周转率等重要指标均位居行业前列。
以数据资讯为核心，纵横探索经营新模式——上海钢联,FDC-12029-1X-AC,上海钢联,doi.org/10.12156/FUDAN.CASE201203501,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,电子商务,,10,0,上海钢联是钢铁行业垂直Ｂ２Ｂ电子商务龙头企业，旗下有六个独立网站，包括“我的钢铁”网、“我的不锈”网、“我的有色”网、“我的能源”网、“搜搜钢”电子商务网和大宗商品网，公司主要业务是向客户提供商业信息、宣传推广、研究咨询、会务培训等全方位服务。上海钢联经过数年的精耕细作，目前已经成为行业领先的电子商务平台。
开拓小贷新天地的”陆金所”——上海陆家嘴国际金融资产交易市场股份有限公司,FDC-13009-1X-AC,上海陆家嘴国际金融资产交易市场股份有限公司,doi.org/10.12156/FUDAN.CASE201301001,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"P2P,互联网金融",,10,0,随着中国中小企业如雨后春笋般地涌现和成长，中小企业贷款难的问题也日益凸显，相关资料显示全国仅不到3%的中小企业从银行获得过贷款。如何有效缓解中小企业贷款难，已经成为中央到地方各级政府的一道难题，也成为中国金融业想方设法拓展的新天地。上海陆家嘴国际金融资产交易市场股份有限公司，就是这片新天地中的一位开拓者。
创造新机制 驱动新金融——浦发银行上海分行中小企业经营中心暨科技企业服务中心,FDC-13010-1X-AC,浦发银行上海分行中小企业经营中心暨科技企业服务中心,doi.org/10.12156/FUDAN.CASE201301101,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,中小企业融资,,11,0,有很多中小企业和科技企业在实际运营中面临着融资难、贷款难的困境，而很多银行的中小企业信贷产品推广也一直难有突破。这背后的原因到底是什么？如何才能真正解决中小企业和科技企业的融资难问题？在中国高科技创新产业发展前沿之一的上海，有着国资背景的浦发银行，在中小企业和科技创新型企业扶持和金融服务方面走出了自己独特的道路。
线上线下，你借我贷——上海嘉银金融信息服务有限公司,FDC-13011-1X-AC,上海嘉银金融信息服务有限公司,doi.org/10.12156/FUDAN.CASE201301201,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"P2P,互联网金融",,10,0,2011年6月，上海嘉银金融信息服务有限公司的”你我贷”平台宣告成立。虽然进入这个行业比较晚，但它的发展速度却非常惊人，人员规模从创业阶段的几个人，到2012年年底已经发展至超过600人的团队。公司成立之初，投资金额仅数百万元，到了2012年3月份，公司营业额突破1200万元，初步实现了盈亏平衡，开始盈利。
网络，让融资有道——上海融道网金融信息服务有限公司,FDC-13012-1X-AC,上海融道网金融信息服务有限公司,doi.org/10.12156/FUDAN.CASE201301301,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,中小企业融资,,11,0,作为一个互联网融资平台，融道网的一端是中小企业，另一端是金融机构的信贷员。通过融资靶向匹配系统，融道网将企业的贷款需求和信贷员的业务特点精确匹配，帮助中小企业主动、快速、低成本地融资。
从B2G到B2B——东方电子支付有限公司,FDC-13013-1X-AC,东方电子支付有限公司,doi.org/10.12156/FUDAN.CASE201301401,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"支付,互联网金融",,8,0,东方支付用互联网的思维、新时代的技术，让万千如张毅般为流程奔忙的职员们体验到了电子支付时代的全新体验。从2007年成立到2012年，仅仅五年的时间，东方支付实现平台交易额近万亿元，用户逾30万家，成绩可谓骄人。
小贷撬动大生意——上海浦东新区张江小额贷款股份有限公司,FDC-13014-1X-AC,上海浦东新区张江小额贷款股份有限公司,doi.org/10.12156/FUDAN.CASE201301501,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,中小企业融资,,11,0,作为有国资背景的小额贷款机构，张江小贷的创立与上海浦东新区张江高科技园区的发展需求密不可分。作为国家级高科技园区，张江集聚了集成电路、生物医药、软件信息、光电子、文化创意等众多高科技中小企业。为了更好地实现科技型中小企业的健康发展，张江高科技园区想到了建立小额贷款机构，同银行和其他机构一起，做好中小企业的发展扶持工作。
三板市场的非常“1+8”——上海股权托管交易中心,FDC-13015-1X-AC,上海股权托管交易中心,doi.org/10.12156/FUDAN.CASE201301601,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,股权交易所,,7,0,"上海股权托管交易中心采取公司制，注册资本8000万元，由上海联合产权交易所、上海国际集团和张江高科分别按50%、30%和20%的比例出资持股。经过一年半的筹备，上海股交中心于2012年2月正式鸣锣开业，相比北京、
天津、重庆等，上海股交中心姗姗来迟。"
科技金融培育创新”种子” ——上海科技投资公司,FDC-13016-1X-AC,上海科技投资公司,doi.org/10.12156/FUDAN.CASE201301701,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,创业投资,科创,7,0,上海科投是由上海市人民政府出资，于1992年成立的国有独资企业，注册资金7亿元。自成立之后，上海科投不断探索服务创新创业的新机制，搭建科技金融平台，发挥了国企对社会经济发展的引导作用。二十年来，公司直接投资项目共79家，投资基金13家（基金投资项目132家），目前在投项目共122家。
“立信·创新·研发”——上海立信资产评估有限公司,FDC-13017-1X-AC,上海立信资产评估有限公司,doi.org/10.12156/FUDAN.CASE201301801,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,资产评估,,9,0,从17年前创业时的几个人，年收入55万元，发展到今天年收入6000多万元的上海立信资产评估有限公司，已经成为上海乃至中国最具专业特色的资产评估机构之一。今天的立信评估，不仅拥有国内外齐全的资产评估资质，其综合影响力、社会声誉及收入规模名列全国资产评估行业前列。
时雨之润，一顾千金——上海时润投资管理有限公司,FDC-13018-1X-AC,上海时润投资管理有限公司,doi.org/10.12156/FUDAN.CASE201301901,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,创业投资,,8,0,"”时润“二字取意“时雨之润,一顾千金“，每每谈及上海时润投资管理有限公司名称的来历时，时润投资总经理张驰轩总是踌躇满志。在张驰轩看来，中小企业受益于资本市场的”时雨之润”已经来到，并且必将在未来一段时间带给企业，也带给中国资本市场”一顾千金”的发展。"
How Buy（好买）开辟基金销售新渠道——上海好买基金销售有限公司,FDC-13019-1X-AC,上海好买基金销售有限公司,doi.org/10.12156/FUDAN.CASE201302001,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,基金销售,,10,0,2012年2月，四家公司首批获得由中国证监会颁发的第三方基金销售牌照，这意味着国内酝酿多年的第三方基金销售渠道终于开闸。上海好买基金销售有限公司即是首批获得牌照的四家公司之一，在成立后一年多时间内，好买基金在新兴的第三方基金销售市场中取得了快速的进步，并且发展成为行业领先的标杆公司之一。
无担保式平台金融服务——上海拍拍贷金融信息服务有限公司,FDC-13020-1X-AC,上海拍拍贷金融信息服务有限公司,doi.org/10.12156/FUDAN.CASE201302101,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,P2P,,8,0,成立于2007年的拍拍贷，诞生于中国民间借贷阳光化的大趋势之中。拍拍贷的名字与腾讯的购物网站“腾讯拍拍”不谋而合。它的交易方式则与另一个网络零售巨头淘宝网颇为类似，都是个人网络交易平台。
第三方风险评估保太平——中国太平洋保险（集团）股份有限公司的“第三方风险评估”,FDC-13021-1X-AC,中国太平洋保险（集团）股份有限公司,doi.org/10.12156/FUDAN.CASE201302201,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,风险评估,,12,0,第三方风险评估一旦在轨道交通领域获得成功，第三方评估的模式就有可能推广到整个社会公共安全风险评估领域。此时，中国太平洋保险（集团）股份有限公司走进了决策者的视野中。
征信评估的”上海模式”——上海资信有限公司,FDC-13022-1X-AC,上海资信有限公司,doi.org/10.12156/FUDAN.CASE201302301,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,征信评估,,10,0,1999年7月，经中国人民银行总行核准，上海资信有限公司正式组建成立。中国第一家真正意义上从事个人征信业务的机构从此在上海诞生。从其诞生伊始，上海资信便马不停蹄地开始了其在行业市场方面的探索。
打开餐饮企业的”金窗口”——上海集品企联投资发展有限公司,FDC-13023-1X-AC,上海集品企联投资发展有限公司,doi.org/10.12156/FUDAN.CASE201302401,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,"餐饮业,融资",,8,0,2013年3月28日对上海餐饮行业来说是一个很重要的日子。来自政府、金融行业、餐饮企业的精英共聚一堂，一起见证了“上海餐饮企业金融服务窗口”的启动仪式。通过开启上海餐饮企业金融服务窗口，企业可以构建与政府、银行、投行等金融机构的密切合作关系，自此有资金需求的餐饮企业将得到更多的融资机会，促使更多规范、优质的上海餐饮企业得以顺利转型升级。
让支付服务更有价值——上海环迅电子商务有限公司,FDC-13024-1X-AC,上海环迅电子商务有限公司,doi.org/10.12156/FUDAN.CASE201302501,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,在线支付,,7,0,自上海环迅电子商务有限公司成立以来，公司高管就一直在思考，怎样才能在为客户提供支付服务的同时为客户创造更多的价值，怎样才能从第三方支付公司间的价格战中脱颖而出。
"钟情物流,鼎力聚焦——钟鼎创业投资有限公司",FDC-13025-1X-AC,钟鼎创业投资有限公司,doi.org/10.12156/FUDAN.CASE201302601,创新创业,金融/保险,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,创业投资,,7,0,为什么一家规模不大，成立时间不长的基金，会先后得到包括国内规模最大的国有母基金国创母基金以及腾讯、盛世鸿宇、鼎盛天平等众多国内顶级机构投资人及国际家族基金的青睐？为何该基金的被投资企业又纷纷成为它的投资人？这可能缘于钟鼎团队所坚持的投资理念、管理方法以及企业文化。
打造金融理财“淘宝网”——上海极元金融信息咨询服务股份有限公司,FDC-13026-1X-AC,上海极元金融信息咨询服务股份有限公司,doi.org/10.12156/FUDAN.CASE201302701,创新创业,互联网/信息/通讯,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,投资理财,,10,0,2012年在上海股权交易托管中心挂牌上市的上海极元金融信息咨询服务股份有限公司，立志要成为面向投资者提供理财咨询、投资教育以及财富管理等专业服务的在线金融超市，致力于打造成为国内一流的金融服务平台。
从两天到两小时——上海金融数库有限公司,FDC-13027-1X-AC,上海金融数库有限公司,doi.org/10.12156/FUDAN.CASE201302801,创新创业,专业/科学/技术服务,复旦大学管理学院,案例文章,本科生,2017-08-28,KDCC CASE,,中文,数据服务,,8,0,2009年，三个年轻的银行分析师——沈鑫、刘彦和Rajah Chaudhry共同创办了上海金融数库有限公司。这些银行投资界的佼佼者为什么愿意放弃人人羡慕的高薪工作和社会地位，转而辛苦创业？一方面是因为他们在内心深处始终渴望能自己创造价值，干出一番事业，而非永远为别人打工；另一方面，他们确实发现了中国金融数据市场的一片蓝海。
Car King (China): Leading the Healthy Growth of China's Pre-Owned Car Industry,FDC-14049-2X-AE,Car King,doi.org/10.12156/FUDAN.CASE201405302,战略,交通/物流/仓储,复旦大学管理学院,案例文章,MBA,2019-12-01,"Case Center, FDSM",,英文,"Auto Industry,Used-Car Industry,China Market,Company Growth",中国式现代化,13,0,"Car King experienced rapid expansion with 15 stores, but being a young company launched just three years ago, building a strong middle management team for nationwide coverage takes time. Founder Joseph emphasized the need to explore step-by-step strategies to lead the promising Chinese used car market. The question remains: can Car King successfully drive industry growth?"
Grey Group (Shanghai): Providing “Famously Effective” Brand Integration Services,FDC-13041-2X-AE,Grey Group,doi.org/10.12156/FUDAN.CASE201304202,市场营销,艺术/娱乐/体育/休闲,复旦大学管理学院,案例文章,MBA,2019-12-01,"Case Center, FDSM",,英文,"Grey,Brand Integration Services,Effective Creativity",,11,0,"Grey Group has been one of the world's largest independent brand creativity businesses. After entering the Chinese market,it has evolved rapidly and is considered one of the most well-established 4A advertising giants in China. With the intensifying competition in the conventional advertising industry and the impact of digital advertising,Grey is faced with the challenges of sustainable growth. To deal with these challenges,Grey launched “Famously Effective” strategy through innovation."
